"gene","ensmble_gene_gps","trait_exwas_ei","trait_gps","gene_trait_pair_exwas_ei","gene_trait_pair_gps","gene_tait_pair_merged","source"
"GABRD","ENSG00000187730",NA,"Develomental delays and disorders",NA,"ENSG00000187730_Develomental delays and disorders","ENSG00000187730_Develomental delays and disorders","GPS"
"GABRE","ENSG00000102287",NA,"Develomental delays and disorders",NA,"ENSG00000102287_Develomental delays and disorders","ENSG00000102287_Develomental delays and disorders","GPS"
"GABRE","ENSG00000102287",NA,"Epilepsy, recurrent seizures, convulsions",NA,"ENSG00000102287_Epilepsy, recurrent seizures, convulsions","ENSG00000102287_Epilepsy, recurrent seizures, convulsions","GPS"
"GABRG2","ENSG00000113327",NA,"Extrapyramidal disease and abnormal movement disorders",NA,"ENSG00000113327_Extrapyramidal disease and abnormal movement disorders","ENSG00000113327_Extrapyramidal disease and abnormal movement disorders","GPS"
"GABRG3","ENSG00000182256",NA,"Epilepsy, recurrent seizures, convulsions",NA,"ENSG00000182256_Epilepsy, recurrent seizures, convulsions","ENSG00000182256_Epilepsy, recurrent seizures, convulsions","GPS"
"GABRP","ENSG00000094755",NA,"Mood disorders",NA,"ENSG00000094755_Mood disorders","ENSG00000094755_Mood disorders","GPS"
"GABRP","ENSG00000094755",NA,"Develomental delays and disorders",NA,"ENSG00000094755_Develomental delays and disorders","ENSG00000094755_Develomental delays and disorders","GPS"
"GABRQ","ENSG00000268089",NA,"Develomental delays and disorders",NA,"ENSG00000268089_Develomental delays and disorders","ENSG00000268089_Develomental delays and disorders","GPS"
"GPD2","ENSG00000115159",NA,"Secondary diabetes mellitus",NA,"ENSG00000115159_Secondary diabetes mellitus","ENSG00000115159_Secondary diabetes mellitus","GPS"
"GRIA1","ENSG00000155511",NA,"Develomental delays and disorders",NA,"ENSG00000155511_Develomental delays and disorders","ENSG00000155511_Develomental delays and disorders","GPS"
"GRIA2","ENSG00000120251",NA,"Neurological disorders",NA,"ENSG00000120251_Neurological disorders","ENSG00000120251_Neurological disorders","GPS"
"GRIK4","ENSG00000149403",NA,"Develomental delays and disorders",NA,"ENSG00000149403_Develomental delays and disorders","ENSG00000149403_Develomental delays and disorders","GPS"
"GRIK5","ENSG00000105737",NA,"Develomental delays and disorders",NA,"ENSG00000105737_Develomental delays and disorders","ENSG00000105737_Develomental delays and disorders","GPS"
"GRIN1","ENSG00000176884",NA,"Other and unspecified disorders of the nervous system",NA,"ENSG00000176884_Other and unspecified disorders of the nervous system","ENSG00000176884_Other and unspecified disorders of the nervous system","GPS"
"GRIN2B","ENSG00000273079",NA,"Delirium dementia and amnestic and other cognitive disorders",NA,"ENSG00000273079_Delirium dementia and amnestic and other cognitive disorders","ENSG00000273079_Delirium dementia and amnestic and other cognitive disorders","GPS"
"GRIN2B","ENSG00000273079",NA,"Other and unspecified disorders of the nervous system",NA,"ENSG00000273079_Other and unspecified disorders of the nervous system","ENSG00000273079_Other and unspecified disorders of the nervous system","GPS"
"GRIN2B","ENSG00000273079",NA,"Congenital anomalies of skin",NA,"ENSG00000273079_Congenital anomalies of skin","ENSG00000273079_Congenital anomalies of skin","GPS"
"GUCY1A1","ENSG00000164116",NA,"Cerebrovascular disease",NA,"ENSG00000164116_Cerebrovascular disease","ENSG00000164116_Cerebrovascular disease","GPS"
"HCN4","ENSG00000138622",NA,"Ischemic heart disease",NA,"ENSG00000138622_Ischemic heart disease","ENSG00000138622_Ischemic heart disease","GPS"
"HRH4","ENSG00000134489",NA,"Anxiety disorders",NA,"ENSG00000134489_Anxiety disorders","ENSG00000134489_Anxiety disorders","GPS"
"HTR1A","ENSG00000178394",NA,"Delirium dementia and amnestic and other cognitive disorders",NA,"ENSG00000178394_Delirium dementia and amnestic and other cognitive disorders","ENSG00000178394_Delirium dementia and amnestic and other cognitive disorders","GPS"
"HTR1A","ENSG00000178394",NA,"Mood disorders",NA,"ENSG00000178394_Mood disorders","ENSG00000178394_Mood disorders","GPS"
"HTR1A","ENSG00000178394",NA,"Pervasive developmental disorders",NA,"ENSG00000178394_Pervasive developmental disorders","ENSG00000178394_Pervasive developmental disorders","GPS"
"HTR1D","ENSG00000179546",NA,"Pervasive developmental disorders",NA,"ENSG00000179546_Pervasive developmental disorders","ENSG00000179546_Pervasive developmental disorders","GPS"
"HTR2C","ENSG00000147246",NA,"Develomental delays and disorders",NA,"ENSG00000147246_Develomental delays and disorders","ENSG00000147246_Develomental delays and disorders","GPS"
"HTR3A","ENSG00000166736",NA,"Schizophrenia and other psychotic disorders",NA,"ENSG00000166736_Schizophrenia and other psychotic disorders","ENSG00000166736_Schizophrenia and other psychotic disorders","GPS"
"HTR7","ENSG00000148680",NA,"Schizophrenia and other psychotic disorders",NA,"ENSG00000148680_Schizophrenia and other psychotic disorders","ENSG00000148680_Schizophrenia and other psychotic disorders","GPS"
"INSR","ENSG00000171105",NA,"Secondary diabetes mellitus",NA,"ENSG00000171105_Secondary diabetes mellitus","ENSG00000171105_Secondary diabetes mellitus","GPS"
"ITGA2B","ENSG00000005961",NA,"Ischemic heart disease",NA,"ENSG00000005961_Ischemic heart disease","ENSG00000005961_Ischemic heart disease","GPS"
"KCNA7","ENSG00000104848",NA,"Cardiac dysrhythmias",NA,"ENSG00000104848_Cardiac dysrhythmias","ENSG00000104848_Cardiac dysrhythmias","GPS"
"KCNH2","ENSG00000055118",NA,"Pervasive developmental disorders",NA,"ENSG00000055118_Pervasive developmental disorders","ENSG00000055118_Pervasive developmental disorders","GPS"
"KCNH2","ENSG00000055118",NA,"Epilepsy, recurrent seizures, convulsions",NA,"ENSG00000055118_Epilepsy, recurrent seizures, convulsions","ENSG00000055118_Epilepsy, recurrent seizures, convulsions","GPS"
"KCNH2","ENSG00000055118",NA,"Other disorders of liver",NA,"ENSG00000055118_Other disorders of liver","ENSG00000055118_Other disorders of liver","GPS"
"KCNJ11","ENSG00000187486",NA,"Overweight, obesity and other hyperalimentation",NA,"ENSG00000187486_Overweight, obesity and other hyperalimentation","ENSG00000187486_Overweight, obesity and other hyperalimentation","GPS"
"KCNJ11","ENSG00000187486",NA,"Ischemic heart disease",NA,"ENSG00000187486_Ischemic heart disease","ENSG00000187486_Ischemic heart disease","GPS"
"KCNJ3","ENSG00000162989",NA,"Cardiac dysrhythmias",NA,"ENSG00000162989_Cardiac dysrhythmias","ENSG00000162989_Cardiac dysrhythmias","GPS"
"KDR","ENSG00000128052",NA,"Leukemia",NA,"ENSG00000128052_Leukemia","ENSG00000128052_Leukemia","GPS"
"KDR","ENSG00000128052",NA,"Pulmonary heart disease",NA,"ENSG00000128052_Pulmonary heart disease","ENSG00000128052_Pulmonary heart disease","GPS"
"KIT","ENSG00000157404",NA,"Thyroid cancer",NA,"ENSG00000157404_Thyroid cancer","ENSG00000157404_Thyroid cancer","GPS"
"LHCGR","ENSG00000138039",NA,"Disorders of menstruation and other abnormal bleeding from female genital tract",NA,"ENSG00000138039_Disorders of menstruation and other abnormal bleeding from female genital tract","ENSG00000138039_Disorders of menstruation and other abnormal bleeding from female genital tract","GPS"
"MAOB","ENSG00000069535",NA,"Pervasive developmental disorders",NA,"ENSG00000069535_Pervasive developmental disorders","ENSG00000069535_Pervasive developmental disorders","GPS"
"MAOB","ENSG00000069535",NA,"Develomental delays and disorders",NA,"ENSG00000069535_Develomental delays and disorders","ENSG00000069535_Develomental delays and disorders","GPS"
"MET","ENSG00000105976",NA,"Cancer of mouth",NA,"ENSG00000105976_Cancer of mouth","ENSG00000105976_Cancer of mouth","GPS"
"MET","ENSG00000105976",NA,"Cancer, suspected or other",NA,"ENSG00000105976_Cancer, suspected or other","ENSG00000105976_Cancer, suspected or other","GPS"
"MTOR","ENSG00000198793",NA,"Other and unspecified congenital anomalies",NA,"ENSG00000198793_Other and unspecified congenital anomalies","ENSG00000198793_Other and unspecified congenital anomalies","GPS"
"MTR","ENSG00000116984",NA,"Vitamin deficiency",NA,"ENSG00000116984_Vitamin deficiency","ENSG00000116984_Vitamin deficiency","GPS"
"NDUFB7","ENSG00000099795",NA,"Disorders of fluid, electrolyte, and acid-base balance",NA,"ENSG00000099795_Disorders of fluid, electrolyte, and acid-base balance","ENSG00000099795_Disorders of fluid, electrolyte, and acid-base balance","GPS"
"NDUFV1","ENSG00000167792",NA,"Other disorders of metabolism",NA,"ENSG00000167792_Other disorders of metabolism","ENSG00000167792_Other disorders of metabolism","GPS"
"NPY","ENSG00000122585",NA,"Overweight, obesity and other hyperalimentation",NA,"ENSG00000122585_Overweight, obesity and other hyperalimentation","ENSG00000122585_Overweight, obesity and other hyperalimentation","GPS"
"NR3C1","ENSG00000113580",NA,"Asthma",NA,"ENSG00000113580_Asthma","ENSG00000113580_Asthma","GPS"
"NR3C2","ENSG00000151623",NA,"Other symptoms/disorders or the urinary system",NA,"ENSG00000151623_Other symptoms/disorders or the urinary system","ENSG00000151623_Other symptoms/disorders or the urinary system","GPS"
"P2RY12","ENSG00000169313",NA,"Other disorders of circulatory system",NA,"ENSG00000169313_Other disorders of circulatory system","ENSG00000169313_Other disorders of circulatory system","GPS"
"PDE5A","ENSG00000138735",NA,"Ischemic heart disease",NA,"ENSG00000138735_Ischemic heart disease","ENSG00000138735_Ischemic heart disease","GPS"
"PDGFRA","ENSG00000134853",NA,"Colorectal cancer",NA,"ENSG00000134853_Colorectal cancer","ENSG00000134853_Colorectal cancer","GPS"
"POLD1","ENSG00000062822",NA,"Cancer of mouth",NA,"ENSG00000062822_Cancer of mouth","ENSG00000062822_Cancer of mouth","GPS"
"POLD1","ENSG00000062822",NA,"Pancreatic cancer",NA,"ENSG00000062822_Pancreatic cancer","ENSG00000062822_Pancreatic cancer","GPS"
"POLD1","ENSG00000062822",NA,"Cancer within the respiratory system",NA,"ENSG00000062822_Cancer within the respiratory system","ENSG00000062822_Cancer within the respiratory system","GPS"
"POLD1","ENSG00000062822",NA,"Breast cancer",NA,"ENSG00000062822_Breast cancer","ENSG00000062822_Breast cancer","GPS"
"POLD1","ENSG00000062822",NA,"Cancer of other female genital organs",NA,"ENSG00000062822_Cancer of other female genital organs","ENSG00000062822_Cancer of other female genital organs","GPS"
"POLD1","ENSG00000062822",NA,"Cancer of urinary organs (incl. kidney and bladder)",NA,"ENSG00000062822_Cancer of urinary organs (incl. kidney and bladder)","ENSG00000062822_Cancer of urinary organs (incl. kidney and bladder)","GPS"
"POLD1","ENSG00000062822",NA,"Cancer, suspected or other",NA,"ENSG00000062822_Cancer, suspected or other","ENSG00000062822_Cancer, suspected or other","GPS"
"POLD1","ENSG00000062822",NA,"Leukemia",NA,"ENSG00000062822_Leukemia","ENSG00000062822_Leukemia","GPS"
"POLE","ENSG00000177084",NA,"Cancer of mouth",NA,"ENSG00000177084_Cancer of mouth","ENSG00000177084_Cancer of mouth","GPS"
"POLE","ENSG00000177084",NA,"Pancreatic cancer",NA,"ENSG00000177084_Pancreatic cancer","ENSG00000177084_Pancreatic cancer","GPS"
"POLE","ENSG00000177084",NA,"Breast cancer",NA,"ENSG00000177084_Breast cancer","ENSG00000177084_Breast cancer","GPS"
"POLE","ENSG00000177084",NA,"Cancer of other female genital organs",NA,"ENSG00000177084_Cancer of other female genital organs","ENSG00000177084_Cancer of other female genital organs","GPS"
"POLE","ENSG00000177084",NA,"Cancer, suspected or other",NA,"ENSG00000177084_Cancer, suspected or other","ENSG00000177084_Cancer, suspected or other","GPS"
"POLE","ENSG00000177084",NA,"Neoplasm of uncertain behavior",NA,"ENSG00000177084_Neoplasm of uncertain behavior","ENSG00000177084_Neoplasm of uncertain behavior","GPS"
"POLE","ENSG00000177084",NA,"Leukemia",NA,"ENSG00000177084_Leukemia","ENSG00000177084_Leukemia","GPS"
"PPARA","ENSG00000186951",NA,"Secondary diabetes mellitus",NA,"ENSG00000186951_Secondary diabetes mellitus","ENSG00000186951_Secondary diabetes mellitus","GPS"
"PPARA","ENSG00000186951",NA,"Diabetes mellitus",NA,"ENSG00000186951_Diabetes mellitus","ENSG00000186951_Diabetes mellitus","GPS"
"PRKCQ","ENSG00000065675",NA,"Muscular dystrophies and other myopathies",NA,"ENSG00000065675_Muscular dystrophies and other myopathies","ENSG00000065675_Muscular dystrophies and other myopathies","GPS"
"PTGS2","ENSG00000073756",NA,"Cardiac and circulatory congenital anomalies",NA,"ENSG00000073756_Cardiac and circulatory congenital anomalies","ENSG00000073756_Cardiac and circulatory congenital anomalies","GPS"
"RAF1","ENSG00000132155",NA,"Pulmonary heart disease",NA,"ENSG00000132155_Pulmonary heart disease","ENSG00000132155_Pulmonary heart disease","GPS"
"RET","ENSG00000165731",NA,"Cancer of mouth",NA,"ENSG00000165731_Cancer of mouth","ENSG00000165731_Cancer of mouth","GPS"
"RET","ENSG00000165731",NA,"Colorectal cancer",NA,"ENSG00000165731_Colorectal cancer","ENSG00000165731_Colorectal cancer","GPS"
"RET","ENSG00000165731",NA,"Cancer within the respiratory system",NA,"ENSG00000165731_Cancer within the respiratory system","ENSG00000165731_Cancer within the respiratory system","GPS"
"RET","ENSG00000165731",NA,"Cancer, suspected or other",NA,"ENSG00000165731_Cancer, suspected or other","ENSG00000165731_Cancer, suspected or other","GPS"
"SCN10A","ENSG00000185313",NA,"Develomental delays and disorders",NA,"ENSG00000185313_Develomental delays and disorders","ENSG00000185313_Develomental delays and disorders","GPS"
"SCN10A","ENSG00000185313",NA,"Pain",NA,"ENSG00000185313_Pain","ENSG00000185313_Pain","GPS"
"SCN10A","ENSG00000185313",NA,"Epilepsy, recurrent seizures, convulsions",NA,"ENSG00000185313_Epilepsy, recurrent seizures, convulsions","ENSG00000185313_Epilepsy, recurrent seizures, convulsions","GPS"
"SCN10A","ENSG00000185313",NA,"Disorders of other cranial nerves",NA,"ENSG00000185313_Disorders of other cranial nerves","ENSG00000185313_Disorders of other cranial nerves","GPS"
"SCN10A","ENSG00000185313",NA,"Other forms of chronic heart disease",NA,"ENSG00000185313_Other forms of chronic heart disease","ENSG00000185313_Other forms of chronic heart disease","GPS"
"SCN10A","ENSG00000185313",NA,"Cardiomyopathy",NA,"ENSG00000185313_Cardiomyopathy","ENSG00000185313_Cardiomyopathy","GPS"
"SCN10A","ENSG00000185313",NA,"Congenital anomalies of skin",NA,"ENSG00000185313_Congenital anomalies of skin","ENSG00000185313_Congenital anomalies of skin","GPS"
"SCN11A","ENSG00000168356",NA,"Cardiac dysrhythmias",NA,"ENSG00000168356_Cardiac dysrhythmias","ENSG00000168356_Cardiac dysrhythmias","GPS"
"SCN1A","ENSG00000144285",NA,"Mood disorders",NA,"ENSG00000144285_Mood disorders","ENSG00000144285_Mood disorders","GPS"
"SCN1A","ENSG00000144285",NA,"Meningitis",NA,"ENSG00000144285_Meningitis","ENSG00000144285_Meningitis","GPS"
"SCN1A","ENSG00000144285",NA,"Other and unspecified disorders of the nervous system",NA,"ENSG00000144285_Other and unspecified disorders of the nervous system","ENSG00000144285_Other and unspecified disorders of the nervous system","GPS"
"SCN1A","ENSG00000144285",NA,"Cardiac dysrhythmias",NA,"ENSG00000144285_Cardiac dysrhythmias","ENSG00000144285_Cardiac dysrhythmias","GPS"
"SCN1A","ENSG00000144285",NA,"Chronic liver disease and cirrhosis",NA,"ENSG00000144285_Chronic liver disease and cirrhosis","ENSG00000144285_Chronic liver disease and cirrhosis","GPS"
"SCN1A","ENSG00000144285",NA,"Congenital anomalies of skin",NA,"ENSG00000144285_Congenital anomalies of skin","ENSG00000144285_Congenital anomalies of skin","GPS"
"SCN1B","ENSG00000105711",NA,"Other forms of chronic heart disease",NA,"ENSG00000105711_Other forms of chronic heart disease","ENSG00000105711_Other forms of chronic heart disease","GPS"
"SCN1B","ENSG00000105711",NA,"Cardiomyopathy",NA,"ENSG00000105711_Cardiomyopathy","ENSG00000105711_Cardiomyopathy","GPS"
"SCN2A","ENSG00000136531",NA,"Delirium dementia and amnestic and other cognitive disorders",NA,"ENSG00000136531_Delirium dementia and amnestic and other cognitive disorders","ENSG00000136531_Delirium dementia and amnestic and other cognitive disorders","GPS"
"SCN2A","ENSG00000136531",NA,"Other cerebral degenerations",NA,"ENSG00000136531_Other cerebral degenerations","ENSG00000136531_Other cerebral degenerations","GPS"
"SCN2A","ENSG00000136531",NA,"Pain",NA,"ENSG00000136531_Pain","ENSG00000136531_Pain","GPS"
"SCN2A","ENSG00000136531",NA,"Cardiac dysrhythmias",NA,"ENSG00000136531_Cardiac dysrhythmias","ENSG00000136531_Cardiac dysrhythmias","GPS"
"SCN2A","ENSG00000136531",NA,"Congenital anomalies of skin",NA,"ENSG00000136531_Congenital anomalies of skin","ENSG00000136531_Congenital anomalies of skin","GPS"
"SCN2A","ENSG00000136531",NA,"Symptoms of the muscles",NA,"ENSG00000136531_Symptoms of the muscles","ENSG00000136531_Symptoms of the muscles","GPS"
"SCN3A","ENSG00000153253",NA,"Meningitis",NA,"ENSG00000153253_Meningitis","ENSG00000153253_Meningitis","GPS"
"SCN3A","ENSG00000153253",NA,"Parkinson's disease",NA,"ENSG00000153253_Parkinson's disease","ENSG00000153253_Parkinson's disease","GPS"
"SCN3A","ENSG00000153253",NA,"Other and unspecified disorders of the nervous system",NA,"ENSG00000153253_Other and unspecified disorders of the nervous system","ENSG00000153253_Other and unspecified disorders of the nervous system","GPS"
"SCN3B","ENSG00000166257",NA,"Cardiac conduction disorders",NA,"ENSG00000166257_Cardiac conduction disorders","ENSG00000166257_Cardiac conduction disorders","GPS"
"SCN4A","ENSG00000007314",NA,"Meningitis",NA,"ENSG00000007314_Meningitis","ENSG00000007314_Meningitis","GPS"
"SCN4A","ENSG00000007314",NA,"Extrapyramidal disease and abnormal movement disorders",NA,"ENSG00000007314_Extrapyramidal disease and abnormal movement disorders","ENSG00000007314_Extrapyramidal disease and abnormal movement disorders","GPS"
"SCN4A","ENSG00000007314",NA,"Epilepsy, recurrent seizures, convulsions",NA,"ENSG00000007314_Epilepsy, recurrent seizures, convulsions","ENSG00000007314_Epilepsy, recurrent seizures, convulsions","GPS"
"SCN4A","ENSG00000007314",NA,"Other and unspecified disorders of the nervous system",NA,"ENSG00000007314_Other and unspecified disorders of the nervous system","ENSG00000007314_Other and unspecified disorders of the nervous system","GPS"
"SCN4A","ENSG00000007314",NA,"Cardiac dysrhythmias",NA,"ENSG00000007314_Cardiac dysrhythmias","ENSG00000007314_Cardiac dysrhythmias","GPS"
"SCN4B","ENSG00000177098",NA,"Cardiomyopathy",NA,"ENSG00000177098_Cardiomyopathy","ENSG00000177098_Cardiomyopathy","GPS"
"SCN5A","ENSG00000183873",NA,"Epilepsy, recurrent seizures, convulsions",NA,"ENSG00000183873_Epilepsy, recurrent seizures, convulsions","ENSG00000183873_Epilepsy, recurrent seizures, convulsions","GPS"
"SCN5A","ENSG00000183873",NA,"Disorders of other cranial nerves",NA,"ENSG00000183873_Disorders of other cranial nerves","ENSG00000183873_Disorders of other cranial nerves","GPS"
"SCN5A","ENSG00000183873",NA,"Ischemic heart disease",NA,"ENSG00000183873_Ischemic heart disease","ENSG00000183873_Ischemic heart disease","GPS"
"SCN5A","ENSG00000183873",NA,"Other forms of chronic heart disease",NA,"ENSG00000183873_Other forms of chronic heart disease","ENSG00000183873_Other forms of chronic heart disease","GPS"
"SCN5A","ENSG00000183873",NA,"Other disorders of liver",NA,"ENSG00000183873_Other disorders of liver","ENSG00000183873_Other disorders of liver","GPS"
"SCN7A","ENSG00000136546",NA,"Develomental delays and disorders",NA,"ENSG00000136546_Develomental delays and disorders","ENSG00000136546_Develomental delays and disorders","GPS"
"SCN7A","ENSG00000136546",NA,"Cardiac dysrhythmias",NA,"ENSG00000136546_Cardiac dysrhythmias","ENSG00000136546_Cardiac dysrhythmias","GPS"
"SCN8A","ENSG00000196876",NA,"Disorders of protein plasma/amino-acid transport and metabolism",NA,"ENSG00000196876_Disorders of protein plasma/amino-acid transport and metabolism","ENSG00000196876_Disorders of protein plasma/amino-acid transport and metabolism","GPS"
"SCN8A","ENSG00000196876",NA,"Meningitis",NA,"ENSG00000196876_Meningitis","ENSG00000196876_Meningitis","GPS"
"SCN8A","ENSG00000196876",NA,"Other and unspecified disorders of the nervous system",NA,"ENSG00000196876_Other and unspecified disorders of the nervous system","ENSG00000196876_Other and unspecified disorders of the nervous system","GPS"
"SCN8A","ENSG00000196876",NA,"Disorders of other cranial nerves",NA,"ENSG00000196876_Disorders of other cranial nerves","ENSG00000196876_Disorders of other cranial nerves","GPS"
"SCN8A","ENSG00000196876",NA,"Cardiac dysrhythmias",NA,"ENSG00000196876_Cardiac dysrhythmias","ENSG00000196876_Cardiac dysrhythmias","GPS"
"SCN8A","ENSG00000196876",NA,"Congenital anomalies of skin",NA,"ENSG00000196876_Congenital anomalies of skin","ENSG00000196876_Congenital anomalies of skin","GPS"
"SCN9A","ENSG00000169432",NA,"Develomental delays and disorders",NA,"ENSG00000169432_Develomental delays and disorders","ENSG00000169432_Develomental delays and disorders","GPS"
"SCN9A","ENSG00000169432",NA,"Pain",NA,"ENSG00000169432_Pain","ENSG00000169432_Pain","GPS"
"SCN9A","ENSG00000169432",NA,"Other conditions of brain",NA,"ENSG00000169432_Other conditions of brain","ENSG00000169432_Other conditions of brain","GPS"
"SCNN1A","ENSG00000111319",NA,"Cardiac dysrhythmias",NA,"ENSG00000111319_Cardiac dysrhythmias","ENSG00000111319_Cardiac dysrhythmias","GPS"
"SERPINC1","ENSG00000117601",NA,"Ischemic heart disease",NA,"ENSG00000117601_Ischemic heart disease","ENSG00000117601_Ischemic heart disease","GPS"
"SLC12A3","ENSG00000070915",NA,"Secondary diabetes mellitus",NA,"ENSG00000070915_Secondary diabetes mellitus","ENSG00000070915_Secondary diabetes mellitus","GPS"
"SLC12A3","ENSG00000070915",NA,"Diabetes mellitus",NA,"ENSG00000070915_Diabetes mellitus","ENSG00000070915_Diabetes mellitus","GPS"
"SLC12A3","ENSG00000070915",NA,"Other disorders of the kidney and ureters",NA,"ENSG00000070915_Other disorders of the kidney and ureters","ENSG00000070915_Other disorders of the kidney and ureters","GPS"
"SLC18A2","ENSG00000165646",NA,"Schizophrenia and other psychotic disorders",NA,"ENSG00000165646_Schizophrenia and other psychotic disorders","ENSG00000165646_Schizophrenia and other psychotic disorders","GPS"
"SLC18A2","ENSG00000165646",NA,"Pervasive developmental disorders",NA,"ENSG00000165646_Pervasive developmental disorders","ENSG00000165646_Pervasive developmental disorders","GPS"
"SLC5A2","ENSG00000140675",NA,"Other disorders of pancreatic internal secretion",NA,"ENSG00000140675_Other disorders of pancreatic internal secretion","ENSG00000140675_Other disorders of pancreatic internal secretion","GPS"
"SLC6A2","ENSG00000103546",NA,"Pervasive developmental disorders",NA,"ENSG00000103546_Pervasive developmental disorders","ENSG00000103546_Pervasive developmental disorders","GPS"
"SLC6A3","ENSG00000142319",NA,"Mood disorders",NA,"ENSG00000142319_Mood disorders","ENSG00000142319_Mood disorders","GPS"
"SLC6A3","ENSG00000142319",NA,"Pervasive developmental disorders",NA,"ENSG00000142319_Pervasive developmental disorders","ENSG00000142319_Pervasive developmental disorders","GPS"
"SLC6A3","ENSG00000142319",NA,"Cardiac and circulatory congenital anomalies",NA,"ENSG00000142319_Cardiac and circulatory congenital anomalies","ENSG00000142319_Cardiac and circulatory congenital anomalies","GPS"
"SLC6A4","ENSG00000108576",NA,"Pervasive developmental disorders",NA,"ENSG00000108576_Pervasive developmental disorders","ENSG00000108576_Pervasive developmental disorders","GPS"
"SLC6A4","ENSG00000108576",NA,"Cardiac dysrhythmias",NA,"ENSG00000108576_Cardiac dysrhythmias","ENSG00000108576_Cardiac dysrhythmias","GPS"
"SLC8A1","ENSG00000183023",NA,"Cardiac dysrhythmias",NA,"ENSG00000183023_Cardiac dysrhythmias","ENSG00000183023_Cardiac dysrhythmias","GPS"
"SV2A","ENSG00000159164",NA,"Epilepsy, recurrent seizures, convulsions",NA,"ENSG00000159164_Epilepsy, recurrent seizures, convulsions","ENSG00000159164_Epilepsy, recurrent seizures, convulsions","GPS"
"TAAR1","ENSG00000146399",NA,"Anxiety disorders",NA,"ENSG00000146399_Anxiety disorders","ENSG00000146399_Anxiety disorders","GPS"
"TAAR1","ENSG00000146399",NA,"Develomental delays and disorders",NA,"ENSG00000146399_Develomental delays and disorders","ENSG00000146399_Develomental delays and disorders","GPS"
"TOP1MT","ENSG00000184428",NA,"Neoplasm of uncertain behavior",NA,"ENSG00000184428_Neoplasm of uncertain behavior","ENSG00000184428_Neoplasm of uncertain behavior","GPS"
"TPK1","ENSG00000196511",NA,"Other conditions of brain",NA,"ENSG00000196511_Other conditions of brain","ENSG00000196511_Other conditions of brain","GPS"
"TRPV1","ENSG00000196689",NA,"Fever of unknown origin",NA,"ENSG00000196689_Fever of unknown origin","ENSG00000196689_Fever of unknown origin","GPS"
"TTR","ENSG00000118271",NA,"Inflammatory and toxic neuropathy",NA,"ENSG00000118271_Inflammatory and toxic neuropathy","ENSG00000118271_Inflammatory and toxic neuropathy","GPS"
"ABCB1","ENSG00000085563",NA,"Breast cancer",NA,"ENSG00000085563_Breast cancer","ENSG00000085563_Breast cancer","GPS"
"ABCC9","ENSG00000069431",NA,"Diseases of hair and hair follicles",NA,"ENSG00000069431_Diseases of hair and hair follicles","ENSG00000069431_Diseases of hair and hair follicles","GPS"
"ABL1","ENSG00000097007",NA,"Malignant neoplasm of uterus",NA,"ENSG00000097007_Malignant neoplasm of uterus","ENSG00000097007_Malignant neoplasm of uterus","GPS"
"ACE","ENSG00000159640",NA,"Other aneurysm",NA,"ENSG00000159640_Other aneurysm","ENSG00000159640_Other aneurysm","GPS"
"ACE","ENSG00000159640",NA,"Other and unspecified congenital anomalies",NA,"ENSG00000159640_Other and unspecified congenital anomalies","ENSG00000159640_Other and unspecified congenital anomalies","GPS"
"ACHE","ENSG00000087085",NA,"Pervasive developmental disorders",NA,"ENSG00000087085_Pervasive developmental disorders","ENSG00000087085_Pervasive developmental disorders","GPS"
"ADRA2B","ENSG00000274286",NA,"Cardiac and circulatory congenital anomalies",NA,"ENSG00000274286_Cardiac and circulatory congenital anomalies","ENSG00000274286_Cardiac and circulatory congenital anomalies","GPS"
"AGTR1","ENSG00000144891",NA,"Cardiac dysrhythmias",NA,"ENSG00000144891_Cardiac dysrhythmias","ENSG00000144891_Cardiac dysrhythmias","GPS"
"AGTR1","ENSG00000144891",NA,"Other and unspecified congenital anomalies",NA,"ENSG00000144891_Other and unspecified congenital anomalies","ENSG00000144891_Other and unspecified congenital anomalies","GPS"
"AKR1B1","ENSG00000085662",NA,"Secondary diabetes mellitus",NA,"ENSG00000085662_Secondary diabetes mellitus","ENSG00000085662_Secondary diabetes mellitus","GPS"
"AKR1B1","ENSG00000085662",NA,"Diabetes mellitus",NA,"ENSG00000085662_Diabetes mellitus","ENSG00000085662_Diabetes mellitus","GPS"
"ALK","ENSG00000171094",NA,"Breast cancer",NA,"ENSG00000171094_Breast cancer","ENSG00000171094_Breast cancer","GPS"
"ALK","ENSG00000171094",NA,"Leukemia",NA,"ENSG00000171094_Leukemia","ENSG00000171094_Leukemia","GPS"
"AR","ENSG00000169083",NA,"Pancreatic cancer",NA,"ENSG00000169083_Pancreatic cancer","ENSG00000169083_Pancreatic cancer","GPS"
"AR","ENSG00000169083",NA,"Disorders of adrenal glands",NA,"ENSG00000169083_Disorders of adrenal glands","ENSG00000169083_Disorders of adrenal glands","GPS"
"AR","ENSG00000169083",NA,"Ovarian dysfunction",NA,"ENSG00000169083_Ovarian dysfunction","ENSG00000169083_Ovarian dysfunction","GPS"
"ATP1A1","ENSG00000163399",NA,"Cancer of prostate",NA,"ENSG00000163399_Cancer of prostate","ENSG00000163399_Cancer of prostate","GPS"
"ATP1A2","ENSG00000018625",NA,"Other disorders of metabolism",NA,"ENSG00000018625_Other disorders of metabolism","ENSG00000018625_Other disorders of metabolism","GPS"
